"","lon","lat","pH","EC","GWC","per_clay","per_sand","per_silt","Al","As","B","Ca","Cd","Co","Cr","Cu","Fe","K","Mg","Mn","Mo","Na","Ni","P","S","Ti","Zn","per_som","PerN","PerC","CNRatio","Ele"
"WS-26-3",-94.23485288,36.0658804,6.51,123.8,0.417489145,8.250575,22.75,68.999425,36.9,0.01,4.13,169,0.002,0.027,0.013,0.113,25.7,4.14,4.84,3.74,0.001,7.73,0.05,1.1,0.828,0.032,0.144,3.1975,0.161809936,1.972200394,12.18837643,375.237
"WS-29-5",-94.23471838,36.06592244,6.11,91.9,0.342305178,14.11445,33.625,52.26055,40.2,0.012,1.48,199,0.003,0.024,0.013,0.115,34.7,4.47,8.35,2.5,0,8.42,0.053,0.897,0.884,0.034,0.204,4.19,0.209232658,2.421036243,11.57102489,375.288
"WS-30-2",-94.23442146,36.06563765,5.74,83.6,0.302497664,9.91715,13.625,76.45785,54.8,0.011,1.49,154,0.003,0.022,0.021,0.108,32,5.85,11.8,3.52,0,8.14,0.057,0.488,0.88,0.034,0.157,3.195,0.163305506,2.004460812,12.27430058,375.182
"WS-30-3",-94.23435262,36.0656422,6.18,140.5,0.371391166,11.377975,18.5,70.122025,42.2,0.01,1.59,189,0.003,0.029,0.017,0.131,32.6,4.92,8.14,3.32,0.001,6.96,0.084,0.541,0.809,0.042,0.199,3.35,0.201930642,2.520502806,12.48202229,375.103
"WS-30-4",-94.23430907,36.06563789,5.95,97.3,0.291856246,11.254525,16.75,71.995475,44.7,0.009,1.53,170,0.003,0.025,0.016,0.112,35,4.99,9.41,2.32,0,8.83,0.059,0.47,0.861,0.043,0.22,3.475,0.200576931,2.448004484,12.20481586,375.128
"WS-30-5",-94.23422194,36.06565994,6,100.4,0.323190422,10.596125,15.125,74.278875,49.4,0.011,1.69,208,0.004,0.024,0.017,0.088,42.4,6.88,11.6,2.75,0.001,9.69,0.066,0.622,1.01,0.047,0.22,3.2325,0.205093712,2.271000624,11.07299042,375.05402
"WS-3-1",-94.23442577,36.06589736,5.6,64.1,0.373183741,12.13925,17.5,70.36075,62.7,0.004,4.6,97.7,0.005,0.013,0.021,0.084,33.7,4.39,7.26,1.14,0.001,7.89,0.06,0.713,1.08,0.052,0.146,3.17,0.189532697,2.080583334,10.97743702,375.073
"WS-3-2",-94.23436227,36.06590523,5.82,60.9,0.360225567,14.0733,16.625,69.3017,54.4,0.006,4.58,111,0.003,0.013,0.02,0.087,34.1,4.8,6.59,1.08,0.001,8.25,0.056,0.777,0.885,0.052,0.15,4.83,0.186260656,1.974066734,10.59840965,375.07803
"WS-3-3",-94.23452778,36.06597083,5.76,78.6,0.347770739,13.641225,20.875,65.483775,51.9,0.01,4.44,143,0.003,0.021,0.017,0.096,30,4.54,4.03,2.64,0.001,10.3,0.073,0.772,1.1,0.031,0.168,3.5525,0.195591107,2.338530779,11.95622253,375.323
"WS-3-4",-94.23448112,36.06599899,6.09,82.3,0.378410553,32.30275,18.5,49.19725,42.7,0.011,4.56,184,0.026,0.023,0.011,0.136,35,5.31,8.89,3.13,0,14.8,0.146,1.07,1.42,0.041,0.315,4.3975,0.254159242,2.835458994,11.15622997,375.10703
"WS-3-5",-94.23438055,36.06596997,5.67,67,0.071875093,16.027925,19.875,64.097075,52.6,0.015,4.41,115,0.02,0.017,0.018,0.122,31.4,5.55,6.59,1.44,0.002,7.73,0.138,1.13,0.969,0.046,0.308,3.335,0.193990931,2.129352331,10.97655582,375.114
"WS-4-3",-94.23407908,36.0661305,5.68,64.8,0.343086444,9.25875,16.875,73.86625,53.3,0.008,4.51,144,0.004,0.02,0.017,0.105,32.8,4.65,9.03,2.54,0.001,12.1,0.085,0.744,0.807,0.037,0.195,2.91,0.187410757,2.028853893,10.82570648,375.101
"WS-4-5",-94.23417143,36.0661702,5.52,81.1,0.345850493,10.98705,16.625,72.38795,59.1,0.012,4.92,197,0.005,0.027,0.023,0.078,46.2,7.52,9.86,2.19,0.002,12.8,0.109,0.888,1.22,0.047,0.287,3.385,0.233234629,2.387821436,10.23785114,375.126
"WS-5-2",-94.23429278,36.06609553,5.76,73.1,0.307924432,5.80215,20.5,73.69785,49.1,0.009,4.73,151,0.004,0.024,0.018,0.096,37.7,5.47,7.36,2.9,0,9.73,0.17,0.842,0.896,0.041,0.242,3.095,0.189567178,2.115559578,11.15994644,375.079
"WS-6-1",-94.23451969,36.06609271,5.69,86.1,0.283545315,7.221825,17.625,75.153175,55,0.01,4.62,147,0.006,0.016,0.017,0.131,34.8,7.21,8.08,2.05,0.001,9.57,0.158,0.948,1.01,0.032,0.191,3.3075,0.216104537,2.521569014,11.66828346,375.079
"WS-6-3",-94.2347559,36.06612343,5.92,101.5,0.191210313,12.200975,19.375,68.424025,41.8,0.01,4.96,117,0.007,0.023,0.016,0.112,40.2,4.89,7.06,2.73,0,16.3,0.156,0.938,1.19,0.055,0.229,3.455,0.205999672,2.164727449,10.50840282,375.114
"WS-6-5",-94.2344852,36.06620176,6.32,101.4,0.288752594,16.99495,18.875,64.13005,39.2,0.006,4.6,184,0.007,0.021,0.011,0.163,29.8,5.32,10.9,2.71,0,9.48,0.074,1.1,0.98,0.032,0.301,4.8875,0.252110571,2.904483318,11.5206728,375.16104
